suite,parameter,parameter_value,cases,certified_rate,fallback_required_rate,pass_rate,regular_count,boundary_count,affine_count,mean_iterations,max_iterations,mean_bisections,max_bisections,max_normalized_feasibility_residual,max_normalized_kkt_residual,min_endpoint_margin,max_normalized_rank_two_identity_residual,max_residual_root_condition,max_condition_to_bound_ratio,max_hessian_condition,max_relative_reconstruction_error,max_lambda_bar_absolute_error,max_lambda_bar_relative_error
a_to_affine,a_raw,0.00000000000000000e+00,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0,0,4,0.00000000000000000e+00,0,0.00000000000000000e+00,0,9.71445146547011973e-17,9.23658088751805287e-18,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
a_to_affine,a_raw,9.99999999999999980e-13,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,1.55221820659938998e-16,9.68804239791735776e-17,3.99999999999999856e-01,5.82305430374286992e-65,5.70606801357417245e+23,1.19516689317229141e-01,4.00000000000000178e+00,4.69214945281313107e-16,1.34217728000000000e+08,2.57667544559460433e-16
a_to_affine,a_raw,1.00000000000000004e-10,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,1.49134690437980592e-16,1.22522641571778074e-16,3.99999999999999800e-01,2.68709196951704175e-57,5.70606801357417185e+19,1.19516689317229141e-01,4.00000000000000266e+00,4.25920703640503886e-16,1.63840000000000000e+04,3.22761880043457656e-16
a_to_affine,a_raw,1.00000000000000002e-08,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,1.24409210478187713e-16,8.50013843708443280e-17,3.99999999999999967e-01,6.78007529180483765e-49,5.70606801357417400e+15,1.19516689317229169e-01,4.00000000000000089e+00,3.72208863776004006e-16,1.00000000000000000e+00,2.24045074156931000e-16
a_to_affine,a_raw,9.99999999999999955e-07,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,8.52198231074174881e-17,5.69613242732313481e-17,3.99999999999999856e-01,4.55766723825095082e-41,5.70606801357417236e+11,1.19516689317229099e-01,4.00000000000000178e+00,3.58448413848839170e-16,1.22070312500000000e-04,2.40476340087844181e-16
a_to_affine,a_raw,1.00000000000000005e-04,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,1.61731973621644030e-16,6.38403471695243790e-17,3.99999999999999911e-01,1.01399135015631385e-32,5.70606801357417256e+07,1.19516689317229155e-01,4.00000000000000089e+00,4.08689288009140167e-16,1.49011611938476562e-08,2.86068440668541589e-16
a_to_affine,a_raw,1.00000000000000002e-02,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,8.70864473347314091e-17,9.08020323526389786e-17,3.99999999999999856e-01,7.88203333795252361e-25,5.70606801357417407e+03,1.19516689317229099e-01,4.00000000000000178e+00,3.30763588479906963e-16,9.09494701772928238e-13,1.79168835347774776e-16
a_to_affine,a_raw,1.00000000000000000e+00,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,8.52198231074174881e-17,6.80265022308205374e-17,3.99999999999999967e-01,6.49880071557290321e-17,5.70606801357417370e-01,1.19516689317229155e-01,4.00000000000000089e+00,3.10316769155909140e-16,2.22044604925031308e-16,2.22044604925031308e-16
b_over_a,b_over_a,0.00000000000000000e+00,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,5.75000000000000000e+00,7,0.00000000000000000e+00,0,9.17871498588710081e-16,6.17992816474137713e-17,3.99999999999999245e-01,2.77779476470626954e-18,9.58845450995704951e-01,1.21543188801638780e-01,4.00000000000000977e+00,1.61841426228473428e-15,7.77156117237609578e-16,7.77156117237609578e-16
b_over_a,b_over_a,9.99999999999999980e-13,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,5.75000000000000000e+00,7,0.00000000000000000e+00,0,9.55082505288200346e-16,5.59597262058318146e-17,3.99999999999999245e-01,1.36519371151532875e-17,9.58845450994667226e-01,1.21543188801635518e-01,4.00000000000000977e+00,1.62435341715111782e-15,7.77156117237609578e-16,7.77156117237609578e-16
b_over_a,b_over_a,1.00000000000000004e-10,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,5.75000000000000000e+00,7,0.00000000000000000e+00,0,9.36477001933394079e-16,5.00690857980490247e-17,3.99999999999999079e-01,5.61792183997340242e-18,9.58845450891967710e-01,1.21543188801312471e-01,4.00000000000001155e+00,1.84777937141036727e-15,8.88178419700125232e-16,8.88178419700125232e-16
b_over_a,b_over_a,1.00000000000000002e-08,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,5.75000000000000000e+00,7,0.00000000000000000e+00,0,9.55082504769455078e-16,4.80411631653220646e-17,3.99999999999999079e-01,2.54183488424020976e-17,9.58845440621999834e-01,1.21543188769008548e-01,4.00000000000001155e+00,1.84214238375059101e-15,7.77156117237609578e-16,7.77156117237609578e-16
b_over_a,b_over_a,9.99999999999999955e-07,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,5.75000000000000000e+00,7,0.00000000000000000e+00,0,9.30275116956405311e-16,9.65276402487886287e-17,3.99999999999999190e-01,8.21025993548390568e-18,9.58844413625854597e-01,1.21543185538617537e-01,4.00000000000000977e+00,1.61841426228473428e-15,7.77156117237609578e-16,7.77156117237609578e-16
b_over_a,b_over_a,1.00000000000000005e-04,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,5.75000000000000000e+00,7,0.00000000000000000e+00,0,9.73682720055806171e-16,4.82239194085071450e-17,3.99999999999999190e-01,1.86244918322879826e-17,9.58741720742373404e-01,1.21542862507789493e-01,4.00000000000000977e+00,1.61841426228473428e-15,7.77156117237609578e-16,7.77156117237609578e-16
b_over_a,b_over_a,1.00000000000000002e-02,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,5.75000000000000000e+00,7,0.00000000000000000e+00,0,9.11178673803557531e-16,7.75516104035032691e-17,3.99999999999999134e-01,6.91034867904535180e-18,9.48539353997614465e-01,1.21510642965748775e-01,4.00000000000001066e+00,1.77331847483622604e-15,7.77156117237609578e-16,7.77156117237609578e-16
