suite,parameter,parameter_value,replicate,expected_path,status,certified,fallback_required,passed,a_raw,b_raw,b_over_a,coefficient_scale,selected_chart,pivot_ratio,qn_ratio,target_mu,mu,endpoint_margin,lambda_bar,lambda_bar_absolute_error,normalized_phi,normalized_phi_derivative,residual_root_condition,residual_root_bound,residual_root_bound_ratio,residual_implied_lambda_error_bound,minimum_hessian_eigenvalue,hessian_condition,reconstruction_condition,reconstruction_condition_bound,normalized_feasibility_residual,normalized_kkt_residual,normalized_rank_two_identity_residual,relative_reconstruction_error,lambda_bar_relative_error,iterations,bisection_steps,guarded_halfsteps,nonfinite_eval_steps,certificate_solution_count
b_over_a,b_over_a,0.00000000000000000e+00,0,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.28750000000000009e+00,0,6.76123403782813326e-01,1.69030850945703331e-01,5.99999999999999978e-01,5.99999999999999867e-01,4.00000000000000078e-01,6.86249999999999916e-01,1.11022302462515654e-16,2.22044604925031308e-16,-1.79312610110782611e+00,5.57685262281432226e-01,4.78414285714285814e+00,1.16569525395503734e-01,1.06229311061919643e-15,4.00000000000000133e-01,3.99999999999999911e+00,1.68609344496056912e+00,8.08207620642023628e+00,1.04592439385536020e-16,3.90723942234490530e-17,2.42769524566205677e-18,1.84109660314757385e-16,1.11022302462515654e-16,6,0,0,0,1
b_over_a,b_over_a,0.00000000000000000e+00,1,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,3.50400000000000045e+00,1,6.24758017671771304e-01,1.13592366849412985e-01,5.99999999999999978e-01,5.99999999999999978e-01,4.00000000000000022e-01,1.05120000000000013e+00,0.00000000000000000e+00,1.11022302462515654e-16,-1.04292094097287369e+00,9.58845450995704951e-01,7.92130064516129107e+00,1.21046466224131205e-01,8.79441036123617244e-16,4.00000000000000022e-01,4.00000000000000000e+00,1.15293359871033951e+00,6.28097062701876574e+00,2.70605278122325266e-17,3.93739422631978088e-17,1.72564659306459583e-18,0.00000000000000000e+00,0.00000000000000000e+00,5,0,0,0,1
b_over_a,b_over_a,0.00000000000000000e+00,2,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.28149999999999986e+00,1,6.35998728003815961e-01,1.05999788000635989e-01,5.99999999999999978e-01,6.00000000000000200e-01,3.99999999999999856e-01,6.84450000000000114e-01,2.22044604925031308e-16,0.00000000000000000e+00,-1.58259925366585996e+00,6.31871901672925840e-01,5.19874382022471870e+00,1.21543188801638780e-01,0.00000000000000000e+00,3.99999999999999911e-01,4.00000000000000178e+00,1.40089693677188465e+00,7.75310743923127088e+00,5.43061334765995468e-17,6.17992816474137713e-17,2.77779476470626954e-18,5.55111512312578270e-17,2.22044604925031308e-16,5,0,0,0,1
b_over_a,b_over_a,0.00000000000000000e+00,3,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1.84884374999999967e+00,0,8.88301269073846989e-01,2.22075317268461747e-01,5.99999999999999978e-01,6.00000000000000755e-01,3.99999999999999245e-01,5.54653125000000635e-01,7.77156117237609578e-16,-2.22044604925031308e-15,-2.60644024070655878e+00,3.83665040303750871e-01,3.45247826974670380e+00,1.11127430885147621e-01,7.66604173418162535e-15,3.99999999999999245e-01,4.00000000000000977e+00,2.26217020078047115e+00,9.51392084831136842e+00,9.17871498588710081e-16,2.88653016872016371e-17,3.73713532987053439e-19,1.61841426228473428e-15,7.77156117237609578e-16,7,0,0,0,1
b_over_a,b_over_a,9.99999999999999980e-13,0,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,9.99999999999999980e-13,9.99999999999999980e-13,2.28749999999838005e+00,0,6.76123403783021826e-01,1.69030850945755456e-01,5.99999999999999978e-01,5.99999999999999978e-01,4.00000000000000078e-01,6.86249999999513971e-01,0.00000000000000000e+00,2.22044604925031308e-16,-1.79312610110933379e+00,5.57685262280963379e-01,4.78414285713903276e+00,1.16569525395498946e-01,1.06229311061834703e-15,4.00000000000000022e-01,3.99999999999999911e+00,1.68609344496145730e+00,8.08207620642346747e+00,1.04592439385522980e-16,1.68735567652587100e-17,1.27862035990556473e-17,0.00000000000000000e+00,0.00000000000000000e+00,6,0,0,0,1
b_over_a,b_over_a,9.99999999999999980e-13,1,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,9.99999999999999980e-13,9.99999999999999980e-13,3.50399999999651568e+00,1,6.24758017672063848e-01,1.13592366849466164e-01,5.99999999999999978e-01,5.99999999999999867e-01,4.00000000000000078e-01,1.05119999999895453e+00,2.22044604925031308e-16,0.00000000000000000e+00,-1.04292094097400234e+00,9.58845450994667226e-01,7.92130064515295285e+00,1.21046466224127625e-01,0.00000000000000000e+00,4.00000000000000133e-01,3.99999999999999911e+00,1.15293359871107604e+00,6.28097062702207065e+00,0.00000000000000000e+00,3.77627522619999992e-17,1.36519371151532875e-17,1.53137852140361372e-16,2.11229646998908007e-16,5,0,0,0,1
b_over_a,b_over_a,9.99999999999999980e-13,2,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,9.99999999999999980e-13,9.99999999999999980e-13,2.28149999999766750e+00,1,6.35998728004124714e-01,1.05999788000687448e-01,5.99999999999999978e-01,6.00000000000000089e-01,3.99999999999999911e-01,6.84449999999300340e-01,1.11022302462515654e-16,0.00000000000000000e+00,-1.58259925366760168e+00,6.31871901672230396e-01,5.19874382021913650e+00,1.21543188801635518e-01,0.00000000000000000e+00,3.99999999999999911e-01,4.00000000000000089e+00,1.40089693677278349e+00,7.75310743923543200e+00,8.14592002148873425e-17,5.59597262058318146e-17,1.31019727403914407e-17,5.55111512312578270e-17,1.11022302462515654e-16,5,0,0,0,1
b_over_a,b_over_a,9.99999999999999980e-13,3,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,9.99999999999999980e-13,9.99999999999999980e-13,1.84884374999953893e+00,0,8.88301269073933142e-01,2.22075317268483285e-01,5.99999999999999978e-01,6.00000000000000755e-01,3.99999999999999245e-01,5.54653124999862412e-01,7.77156117237609578e-16,-1.99840144432528177e-15,-2.60644024070740832e+00,3.83665040303625804e-01,3.45247826974565353e+00,1.11127430885145206e-01,6.89943756076136397e-15,3.99999999999999245e-01,4.00000000000000977e+00,2.26217020078093567e+00,9.51392084831281437e+00,9.55082505288200346e-16,1.65560292541504394e-17,6.37728257559997720e-18,1.62435341715111782e-15,7.77156117237609578e-16,7,0,0,0,1
b_over_a,b_over_a,1.00000000000000004e-10,0,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000004e-10,1.00000000000000004e-10,2.28749999983799990e+00,0,6.76123403803676526e-01,1.69030850950919131e-01,5.99999999999999978e-01,5.99999999999999867e-01,4.00000000000000133e-01,6.86249999951399792e-01,1.11022302462515654e-16,3.33066907387546962e-16,-1.79312610125860505e+00,5.57685262234538071e-01,4.78414285676048490e+00,1.16569525395018581e-01,1.59343966580143868e-15,4.00000000000000133e-01,3.99999999999999822e+00,1.68609344504937475e+00,8.08207620674321525e+00,1.30740549230293407e-16,2.24500073082622064e-17,1.45375773819802219e-18,2.28878339926111873e-16,1.11022302462515654e-16,6,0,0,0,1
b_over_a,b_over_a,1.00000000000000004e-10,1,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000004e-10,1.00000000000000004e-10,3.50399999965152009e+00,1,6.24758017701034118e-01,1.13592366854733506e-01,5.99999999999999978e-01,5.99999999999999978e-01,4.00000000000000022e-01,1.05119999989545598e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.04292094108570699e+00,9.58845450891967710e-01,7.92130064432775782e+00,1.21046466223772561e-01,0.00000000000000000e+00,4.00000000000000022e-01,3.99999999999999956e+00,1.15293359878397195e+00,6.28097062734922940e+00,2.70605278118371563e-17,2.12159065552215472e-17,5.61792183997340242e-18,0.00000000000000000e+00,0.00000000000000000e+00,5,0,0,0,1
b_over_a,b_over_a,1.00000000000000004e-10,2,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000004e-10,1.00000000000000004e-10,2.28149999976671980e+00,1,6.35998728034686933e-01,1.05999788005781151e-01,5.99999999999999978e-01,5.99999999999999978e-01,4.00000000000000022e-01,6.84449999930015873e-01,0.00000000000000000e+00,0.00000000000000000e+00,-1.58259925384010880e+00,6.31871901603354824e-01,5.19874381966627830e+00,1.21543188801312471e-01,0.00000000000000000e+00,4.00000000000000022e-01,3.99999999999999956e+00,1.40089693686180539e+00,7.75310743964767735e+00,5.43061334757999993e-17,3.08913255611852233e-17,4.27125225904199800e-18,1.61841426228473438e-16,0.00000000000000000e+00,5,0,0,0,1
b_over_a,b_over_a,1.00000000000000004e-10,3,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000004e-10,1.00000000000000004e-10,1.84884374995391987e+00,0,8.88301269082460210e-01,2.22075317270615052e-01,5.99999999999999978e-01,6.00000000000000866e-01,3.99999999999999079e-01,5.54653124986176804e-01,8.88178419700125232e-16,-2.22044604925031308e-15,-2.60644024079154901e+00,3.83665040291240433e-01,3.45247826964156035e+00,1.11127430884908340e-01,7.66604173394816039e-15,3.99999999999999134e-01,4.00000000000001155e+00,2.26217020082692200e+00,9.51392084845624808e+00,9.36477001933394079e-16,5.00690857980490247e-17,2.56078038904849071e-18,1.84777937141036727e-15,8.88178419700125232e-16,7,0,0,0,1
b_over_a,b_over_a,1.00000000000000002e-08,0,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000002e-08,1.00000000000000002e-08,2.28749998379999964e+00,0,6.76123405869136995e-01,1.69030851467284249e-01,5.99999999999999978e-01,5.99999999999999756e-01,4.00000000000000244e-01,6.86249995139999625e-01,2.22044604925031308e-16,4.44089209850062616e-16,-1.79312611618574014e+00,5.57685257592007266e-01,4.78414281890556570e+00,1.16569525346984726e-01,2.12458620425762388e-15,4.00000000000000244e-01,3.99999999999999734e+00,1.68609345384115583e+00,8.08207623871825298e+00,1.04592439255409470e-16,1.64437919392222142e-17,1.28323537809478532e-17,3.88578058618804789e-16,2.22044604925031308e-16,6,0,0,0,1
b_over_a,b_over_a,1.00000000000000002e-08,1,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000002e-08,1.00000000000000002e-08,3.50399996515200085e+00,1,6.24758020598057184e-01,1.13592367381464956e-01,5.99999999999999978e-01,5.99999999999999978e-01,4.00000000000000078e-01,1.05119998954560012e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.04292095225618775e+00,9.58845440621999834e-01,7.92130056180806630e+00,1.21046466188266921e-01,0.00000000000000000e+00,4.00000000000000022e-01,3.99999999999999911e+00,1.15293360607357109e+00,6.28097066006505234e+00,2.70605277726953358e-17,4.15777076603934322e-17,7.13589754881208852e-18,5.41424071215979448e-17,0.00000000000000000e+00,5,0,0,0,1
b_over_a,b_over_a,1.00000000000000002e-08,2,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000002e-08,1.00000000000000002e-08,2.28149997667200033e+00,1,6.35998731090910985e-01,1.05999788515151822e-01,5.99999999999999978e-01,6.00000000000000089e-01,3.99999999999999856e-01,6.84449993001600254e-01,2.22044604925031308e-16,-2.22044604925031308e-16,-1.58259927109076037e+00,6.31871894715823501e-01,5.19874376438065067e+00,1.21543188769008548e-01,1.15435300526837163e-15,3.99999999999999911e-01,4.00000000000000178e+00,1.40089694576398394e+00,7.75310748087258705e+00,8.14592000949653609e-17,4.80411631653220646e-17,2.54183488424020976e-17,2.25487362244146695e-16,2.22044604925031308e-16,5,0,0,0,1
b_over_a,b_over_a,1.00000000000000002e-08,3,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000002e-08,1.00000000000000002e-08,1.84884374539199992e+00,0,8.88301269935162008e-01,2.22075317483790502e-01,5.99999999999999978e-01,6.00000000000000866e-01,3.99999999999999079e-01,5.54653123617600774e-01,7.77156117237609578e-16,-2.22044604925031308e-15,-2.60644024920541684e+00,3.83665039052728640e-01,3.45247825923219454e+00,1.11127430861230933e-01,7.66604171083472519e-15,3.99999999999999134e-01,4.00000000000001155e+00,2.26217020542543690e+00,9.51392086279868110e+00,9.55082504769455078e-16,1.65080979355898000e-17,2.90803327768201566e-18,1.84214238375059101e-15,7.77156117237609578e-16,7,0,0,0,1
b_over_a,b_over_a,9.99999999999999955e-07,0,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,9.99999999999999955e-07,9.99999999999999955e-07,2.28749838000145811e+00,0,6.76123612415024167e-01,1.69030903103756042e-01,5.99999999999999978e-01,5.99999999999999867e-01,4.00000000000000078e-01,6.86249514000437322e-01,1.11022302462515654e-16,2.22044604925031308e-16,-1.79312760889941614e+00,5.57684793339264240e-01,4.78413903341647373e+00,1.16569520543596650e-01,1.06229226158138206e-15,4.00000000000000133e-01,3.99999999999999911e+00,1.68609433301937339e+00,8.08207943622205072e+00,1.30740532966112624e-16,4.85964599678790628e-17,2.76600523185417839e-18,2.07703709052761217e-16,1.11022302462515654e-16,6,0,0,0,1
b_over_a,b_over_a,9.99999999999999955e-07,1,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,9.99999999999999955e-07,9.99999999999999955e-07,3.50399651520313737e+00,1,6.24758310300219777e-01,1.13592420054585433e-01,5.99999999999999978e-01,6.00000000000000089e-01,3.99999999999999911e-01,1.05119895456094148e+00,2.22044604925031308e-16,-2.22044604925031308e-16,-1.04292206930477516e+00,9.58844413625854597e-01,7.92129230984410437e+00,1.21046462637701246e-01,1.75888022143502284e-15,3.99999999999999911e-01,4.00000000000000089e+00,1.15293433503385079e+00,6.28097393164802753e+00,8.11815715755421341e-17,4.53971527638493485e-17,1.31901945554465310e-18,2.48111801084139701e-16,2.11229857070942038e-16,5,0,0,0,1
b_over_a,b_over_a,9.99999999999999955e-07,2,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,9.99999999999999955e-07,9.99999999999999955e-07,2.28149766720210012e+00,1,6.35999036713165267e-01,1.05999839452194197e-01,5.99999999999999978e-01,6.00000000000000089e-01,3.99999999999999967e-01,6.84449300160630103e-01,1.11022302462515654e-16,0.00000000000000000e+00,-1.58260099615670002e+00,6.31871205963139504e-01,5.19873823582134964e+00,1.21543185538617537e-01,0.00000000000000000e+00,3.99999999999999911e-01,4.00000000000000089e+00,1.40089783598229212e+00,7.75311160336357297e+00,5.43061254810038043e-17,9.65276402487886287e-17,3.97655965085104655e-18,1.94289029309402395e-16,1.11022302462515654e-16,5,0,0,0,1
b_over_a,b_over_a,9.99999999999999955e-07,3,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,9.99999999999999955e-07,9.99999999999999955e-07,1.84884328920041452e+00,0,8.88301355205264098e-01,2.22075338801316025e-01,5.99999999999999978e-01,6.00000000000000755e-01,3.99999999999999190e-01,5.54652986760125088e-01,7.77156117237609578e-16,-2.22044604925031308e-15,-2.60644109059186269e+00,3.83664915201641143e-01,3.45247721829652354e+00,1.11127428493487376e-01,7.66603939949322662e-15,3.99999999999999245e-01,4.00000000000000977e+00,2.26217066527671218e+00,9.51392229704113568e+00,9.30275116956405311e-16,2.67122747263010364e-17,8.21025993548390568e-18,1.61841426228473428e-15,7.77156117237609578e-16,7,0,0,0,1
b_over_a,b_over_a,1.00000000000000005e-04,0,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000005e-04,1.00000000000000005e-04,2.28733801457883335e+00,0,6.76144265481397500e-01,1.69036066370349375e-01,5.99999999999999978e-01,5.99999999999999867e-01,4.00000000000000133e-01,6.86201404373649848e-01,1.11022302462515654e-16,0.00000000000000000e+00,-1.79327688213663938e+00,5.57638371386647180e-01,4.78376051019602677e+00,1.16569040234791463e-01,0.00000000000000000e+00,4.00000000000000133e-01,3.99999999999999822e+00,1.68618225160636648e+00,8.08239918406632185e+00,0.00000000000000000e+00,3.87817660839662153e-17,1.86244918322879826e-17,2.07703709052761217e-16,1.11022302462515654e-16,6,0,0,0,1
b_over_a,b_over_a,1.00000000000000005e-04,1,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000005e-04,1.00000000000000005e-04,3.50365155136069140e+00,1,6.24787279075571411e-01,1.13597687104649361e-01,5.99999999999999978e-01,5.99999999999999978e-01,4.00000000000000022e-01,1.05109546540820742e+00,0.00000000000000000e+00,-2.22044604925031308e-16,-1.04303377892606930e+00,9.58741720742373404e-01,7.92046716592959221e+00,1.21046107591540011e-01,1.75869700268051870e-15,4.00000000000000022e-01,3.99999999999999956e+00,1.15300723468345523e+00,6.28130109495376310e+00,1.35300662260720717e-16,4.82239194085071450e-17,1.24608519944053122e-17,1.08290198195369826e-16,0.00000000000000000e+00,5,0,0,0,1
b_over_a,b_over_a,1.00000000000000005e-04,2,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000005e-04,1.00000000000000005e-04,2.28126674099352034e+00,1,6.36029597496454602e-01,1.06004932916075753e-01,5.99999999999999978e-01,5.99999999999999867e-01,4.00000000000000133e-01,6.84380022298055946e-01,1.11022302462515654e-16,1.11022302462515654e-16,-1.58277351055830118e+00,6.31802335159920680e-01,5.19818541479084750e+00,1.21542862507789493e-01,5.77114513377146865e-16,4.00000000000000133e-01,3.99999999999999822e+00,1.40098686264932382e+00,7.75352385964679058e+00,2.71526669695753123e-17,3.02044573933804764e-17,2.23329643108619530e-18,1.77722398948333652e-16,1.11022302462515654e-16,5,0,0,0,1
b_over_a,b_over_a,1.00000000000000005e-04,3,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000005e-04,1.00000000000000005e-04,1.84879767414686791e+00,0,8.88309881316394878e-01,2.22077470329098720e-01,5.99999999999999978e-01,6.00000000000000755e-01,3.99999999999999190e-01,5.54639302244061105e-01,7.77156117237609578e-16,-2.44249065417534439e-15,-2.60652522559030153e+00,3.83652531033352784e-01,3.45237313221262720e+00,1.11127191743457268e-01,8.43238911015540314e-15,3.99999999999999245e-01,4.00000000000000977e+00,2.26221664827542979e+00,9.51406571425194514e+00,9.73682720055806171e-16,2.75075834111432171e-17,9.65926130434790487e-18,1.61841426228473428e-15,7.77156117237609578e-16,7,0,0,0,1
