view1,view2,correspondences,formula_relative_error,camera_center_relative_residual,projected_point_sampson_max,projected_point_normalized_residual_max,rank_ratio,observation_sampson_median,transpose_sampson_median,lott_certified,lott_failures,hs_finite,both_finite,lott_cost_mean,hs_cost_mean,gap_mean,gap_abs_max,lott_normalized_residual_max,hs_normalized_residual_max
1,2,257,8.5526061763833416e-16,4.2171745376355699e-17,7.2594302189043889e-08,2.033291241343198e-17,9.5498448522911803e-23,0.12703615526088721,6.2555964541633422,257,0,257,257,0.045742368421087531,0.045742368421087774,-2.2065442219388483e-16,2.0439205883349132e-13,6.302666776990128e-20,3.425048552226024e-20
1,3,142,3.5524009179140472e-16,4.2171745376355699e-17,1.7356703469276822e-08,2.3071419051341041e-18,2.022694419182939e-22,0.17869073475601771,13.261308809057894,142,0,142,142,0.11714367502183515,0.11714367502184041,-5.1531929549341134e-15,2.6023627697213669e-13,2.2335505134123309e-20,2.5687043433843636e-20
1,4,81,2.1154961486406551e-16,4.2171745376355699e-17,6.4471114744555796e-09,6.396351209686717e-19,9.2900509588040303e-23,0.24321224842126318,20.113340470167881,81,0,81,81,0.15390646566087027,0.15390646566087557,-5.3272500221816681e-15,2.2071233729548112e-13,1.4252409273711562e-20,9.0655777464640369e-21
1,5,50,7.0639028769611294e-17,4.2171745376355699e-17,2.8946137122054413e-09,2.6325521178601829e-19,2.2733575252773625e-23,0.27524818072794172,28.701155670529413,50,0,50,50,0.33331841995371425,0.33331841995371747,-3.2633721029282079e-15,2.886579864025407e-13,8.3466993841750114e-21,1.1967219926320882e-20
1,6,32,1.2060027790708144e-16,4.2171745376355699e-17,9.4173987216389015e-10,1.1426321231207025e-19,1.4482667497287989e-23,0.34059830182415846,32.16899783331295,32,0,32,32,0.83476707034094511,0.83476707034093811,7.1011967245737162e-15,2.8066438062523957e-13,9.580244254251189e-21,6.0378619256333563e-21
1,7,24,1.1572726096398557e-16,4.2171745376355699e-17,4.4181310813687932e-10,8.5835033394035695e-20,1.2994228252297139e-22,0.39037678392780362,33.933686738017258,24,0,24,24,1.9413093398544772,1.9413093398544161,6.0721798496619428e-14,1.3677947663381929e-12,9.7354805115184629e-21,4.6989695559397124e-21
1,8,8,1.1147585955615485e-16,4.2171745376355699e-17,3.8940986255200816e-10,7.8851503739713754e-20,4.9964707729655472e-22,0.36318340299772245,89.446006129212023,8,0,8,8,0.74727804249163343,0.7472780424916895,-5.5955674121976884e-14,5.1825210789502307e-13,4.8499635346554062e-21,4.2861096213353116e-21
1,9,3,1.1108077912867666e-16,4.2171745376355699e-17,2.1933429231158638e-10,6.5021081566662214e-20,2.9267168921442238e-22,0.51353689576757389,112.21480285083382,3,0,3,3,1.4073179422221653,1.407317942222037,1.2849906324182333e-13,2.6290081223123707e-13,6.3372840726437853e-21,1.321203766666254e-21
1,10,2,1.1277500907505146e-16,4.2171745376355699e-17,3.1108699909491312e-10,8.9248527173116716e-20,2.6223099958031676e-22,1.1351584769389216,91.223774488483485,2,0,2,2,1.9670868532306818,1.9670868532306331,4.8655524054197485e-14,7.5051076464660582e-14,6.6997431192953924e-22,1.3399486238590785e-21
1,11,1,1.1107954199345179e-16,4.2171745376355699e-17,3.7873516933051322e-10,1.072938047620352e-19,1.1293518584615078e-22,2.0612322996011181,7.060196281235898,1,0,1,1,4.2486605007854257,4.2486605007853431,8.2600593032111647e-14,8.2600593032111647e-14,1.0196922500020887e-21,0
1,12,1,4.6359693879436516e-19,4.2171745376355699e-17,4.3210307262686777e-10,1.2367998239354471e-19,6.6067216507385502e-23,2.1075441334968961,1.1976164255463126,1,0,1,1,4.441718818781923,4.4417188187822951,-3.7214675785435247e-13,3.7214675785435247e-13,3.450788295975245e-22,6.901576591950491e-22
