view1,view2,rows,lott_valid,diagnostics_finite,sdp_optimal,rank_one_1e-7,agreement_scaled_1e-8,max_lott_primal_scaled_gap,max_lott_extracted_scaled_gap,max_tail_spectral_ratio,max_psd_violation_ratio,max_extracted_constraint_residual,max_primal_infeasibility,max_dual_infeasibility,max_duality_gap_scaled
1,2,257,257,257,257,257,257,1.7139353011928066e-10,6.203265678905723e-11,4.881880611724888e-11,4.881880611724888e-11,1.6653345369377348e-16,1.369758217313082e-10,5.62415048496874e-11,3.1422427746933973e-10
1,3,142,142,142,142,142,142,1.7203732305167298e-10,5.956490856107166e-11,4.6247130279882066e-11,4.6247130279882066e-11,2.220446049250313e-16,5.450649040068732e-10,1.044683673222962e-10,5.499017063395221e-10
1,4,81,81,81,81,81,81,3.091546638469216e-10,1.6757706333692113e-11,8.194703559859273e-11,8.194703559859273e-11,2.220446049250313e-16,7.467326028995411e-10,1.7368384572070624e-10,9.784277770245175e-10
1,5,50,50,50,50,50,50,2.8315780108572703e-10,1.1428856383206561e-10,4.790605501431671e-11,4.790605501431671e-11,1.6653345369377348e-16,4.683088955898393e-10,8.300915829335569e-11,5.299987052092392e-10
1,6,32,32,32,32,32,32,3.6358109232436097e-10,5.772175515560248e-11,8.384739256896155e-11,8.384739256896155e-11,3.3306690738754696e-16,7.48890197026066e-10,1.741219216955602e-10,9.809755676773072e-10
1,7,24,24,24,24,24,24,1.6539301005147333e-10,2.3088789716207212e-11,5.024469133128573e-11,5.024469133128573e-11,2.7755575615628914e-16,2.7345212039747425e-10,7.727051676093001e-11,5.436181623100434e-10
1,8,8,8,8,8,8,8,1.2942909938251645e-10,1.384859772992571e-11,4.600268750367298e-11,4.600268750367298e-11,2.220446049250313e-16,2.3074390681873904e-10,6.818896327861794e-11,5.174425296934128e-10
1,9,3,3,3,3,3,3,7.587844264238422e-11,5.340806708395069e-11,1.5113264232392545e-11,1.5113264232392545e-11,5.551115123125783e-17,4.8363666309600215e-11,1.774807225855097e-11,9.06490856502608e-11
1,10,2,2,2,2,2,2,2.4246242364828137e-11,1.6278645098566358e-12,4.823091605946045e-12,4.823091605946045e-12,2.7755575615628914e-17,5.371956519832251e-11,1.0650526272744396e-11,5.6267142701773273e-11
1,11,1,1,1,1,1,1,4.075628540903498e-10,1.6038242723041007e-11,7.145090519228388e-11,7.145090519228388e-11,1.1657341758564144e-15,9.363234791231382e-10,1.7861861843708817e-10,9.401887951626813e-10
1,12,1,1,1,1,1,1,2.9220560275441344e-11,2.214887674611141e-11,1.2109638567255854e-12,1.2109638567255854e-12,2.220446049250313e-16,1.5391070294354013e-11,2.8883985695656957e-12,1.5213261064416862e-11
1,13,1,1,1,1,1,1,2.3163017923327916e-10,8.93052226802573e-12,3.040035042013053e-11,3.040035042013053e-11,8.881784197001252e-16,4.3275784740292585e-10,7.695969046120874e-11,4.012669747822575e-10
1,14,1,1,1,1,1,1,3.4146035947787753e-10,5.8284773381713285e-12,5.7180778144186143e-11,5.7180778144186143e-11,2.3869795029440866e-15,7.552584029271001e-10,1.3999265283518633e-10,7.391021650251921e-10
1,15,1,1,1,1,1,1,4.462293123391059e-10,3.1339591551912664e-12,7.45135034148029e-11,7.45135034148029e-11,3.552713678800501e-15,9.721516671000954e-10,1.8130526073983587e-10,9.562426093013412e-10
1,16,1,1,1,1,1,1,4.0287653777255745e-11,5.58677096114611e-11,3.310918239836413e-12,3.310918239836413e-12,1.1102230246251565e-16,3.5103604250232546e-11,7.2368967262175486e-12,3.853907505850866e-11
1,17,1,1,1,1,1,1,8.330642832886541e-12,3.782626046858735e-11,1.261188073674903e-11,1.261188073674903e-11,1.1102230246251565e-16,9.275818315661861e-11,2.2799745642867168e-11,1.392440531884282e-10
1,18,1,1,1,1,1,1,1.2688292085144806e-10,3.978000498308e-12,4.1932835862118414e-11,4.1932835862118414e-11,9.992007221626409e-16,1.9748192223738495e-10,6.046862508492906e-11,4.905328062396102e-10
1,19,1,1,1,1,1,1,8.808365148382791e-11,6.052908174680738e-11,1.4631705615710316e-11,1.4631705615710316e-11,2.220446049250313e-16,4.956586929861229e-11,1.8608638691765705e-11,1.1566838826852168e-10
1,20,1,1,1,1,1,1,5.433786059994006e-11,1.5823207327736455e-11,1.980405283669256e-11,1.980405283669256e-11,4.163336342344337e-17,4.6758560045146436e-11,2.2762948381699188e-11,1.9750999038281206e-11
1,21,1,1,1,1,1,1,2.4974397550003857e-11,3.192216629921418e-11,1.6155293486212815e-11,1.6155293486212815e-11,2.7755575615628914e-17,3.857866112104456e-11,1.8685613686038755e-11,1.7645118195864476e-11
2,3,242,242,242,242,242,242,1.7189783277360426e-10,5.108735656733643e-11,4.696394914710358e-11,4.696394914710358e-11,1.6653345369377348e-16,1.1525198656630532e-10,5.4123895840874706e-11,2.0364579349820226e-10
2,4,135,135,135,135,135,135,1.7074922031845574e-10,5.429456884087358e-11,5.058992031654104e-11,5.058992031654104e-11,1.6653345369377348e-16,2.6227849259100186e-10,7.504505432455494e-11,5.387641241697802e-10
2,5,73,73,73,73,73,73,1.8969423930373952e-10,4.240570059013526e-11,4.9421856363495105e-11,4.9421856363495105e-11,1.6653345369377348e-16,2.829181182840311e-10,7.778409931443985e-11,5.247842301207986e-10
2,6,49,49,49,49,49,49,2.0280149917252964e-10,5.0073574582325784e-11,6.195096881964955e-11,4.590400533225887e-11,3.3306690738754696e-16,9.096386398723138e-10,9.036400102445589e-11,5.15560520281378e-10
2,7,33,33,33,33,33,33,2.00047978182738e-10,9.237599574163369e-11,4.8136020534516297e-11,4.8136020534516297e-11,1.6653345369377348e-16,3.6683418421303437e-10,7.250842666821605e-11,5.314747407963499e-10
2,8,12,12,12,12,12,12,1.5186378695374037e-10,6.91914330832255e-11,4.2364107978731477e-11,4.2364107978731477e-11,1.1102230246251565e-16,1.353577458351791e-10,4.8061800502023015e-11,3.335910022253379e-10
2,9,5,5,5,5,5,5,1.667177290318178e-10,3.356465081269666e-11,4.62339201168802e-11,4.62339201168802e-11,3.3306690738754696e-16,4.0297770596450185e-10,7.358045676675017e-11,3.886844728913855e-10
2,10,4,4,4,4,4,4,1.9258425847646987e-10,3.790022268114605e-12,3.500533149721827e-11,3.500533149721827e-11,5.551115123125783e-16,3.99811273480373e-10,7.23708850138005e-11,3.7983743353184773e-10
2,11,1,1,1,1,1,1,3.4815838402495243e-10,1.8446002317748373e-11,4.684288265929251e-11,4.684288265929251e-11,7.771561172376096e-16,7.30161182049941e-10,1.2638086381614444e-10,6.550228291563151e-10
2,12,1,1,1,1,1,1,4.505918596895269e-10,1.504814643347117e-11,5.419921241412594e-11,5.419921241412594e-11,1.2212453270876722e-15,8.99281692164917e-10,1.5288245712423315e-10,7.897660718481218e-10
2,13,1,1,1,1,1,1,3.9875074473742275e-11,3.318000517506403e-11,8.312926535278188e-13,8.312926535278188e-13,5.551115123125783e-17,1.6506542317696602e-11,2.635076319571757e-12,1.3398336752976855e-11
2,14,1,1,1,1,1,1,1.4925031695957793e-11,2.1007428918173067e-11,7.477183355048689e-13,7.477183355048689e-13,5.551115123125783e-17,1.3759259736167802e-11,2.2561790616870487e-12,1.1560176909356124e-11
2,15,1,1,1,1,1,1,2.9615045545173874e-11,2.3026424907650023e-11,8.158332430061054e-13,8.158332430061054e-13,1.1102230246251565e-16,1.580590319564115e-11,2.543123958598931e-12,1.2974755367721626e-11
2,16,1,1,1,1,1,1,3.8450208700405364e-10,1.2117401611714912e-11,5.010491473326058e-11,5.010491473326058e-11,2.275957200481571e-15,7.995354293837254e-10,1.3745038036785274e-10,7.115008028652052e-10
2,17,1,1,1,1,1,1,1.0636970239477199e-11,2.35897960600919e-11,7.895020818403406e-12,7.895020818403406e-12,4.996003610813204e-16,2.1331342186479628e-10,4.126866533942815e-11,2.1725355345207737e-10
2,18,1,1,1,1,1,1,1.6643474411370518e-11,2.103198932075165e-11,5.235342818742809e-12,5.006596954826198e-12,5.551115123125783e-17,4.4407928136132976e-11,9.917034142561742e-12,4.671052919346362e-11
2,19,1,1,1,1,1,1,1.53734071324745e-10,4.8233264346157413e-11,6.757826639378888e-11,6.757826639378888e-11,3.885780586188048e-16,4.4107453915832353e-10,1.132898505474313e-10,6.978682958122055e-10
2,20,1,1,1,1,1,1,2.189465275748148e-10,1.2951151262541316e-10,3.3475115461876245e-11,3.3475115461876245e-11,7.216449660063518e-16,1.4050151711126388e-10,4.602214250006496e-11,3.47367596846895e-10
2,21,1,1,1,1,1,1,3.546146709609843e-11,3.158390216029261e-11,3.2467446966039303e-12,3.2467446966039303e-12,5.551115123125783e-17,5.630557233269848e-11,2.3018181150513418e-11,1.282702755978672e-10
3,4,229,229,229,229,229,229,1.8403291390800547e-10,7.074651975358393e-11,5.057146189606488e-11,5.057146189606488e-11,1.6653345369377348e-16,1.241058770315583e-10,5.824310564559553e-11,2.7473534948516603e-10
3,5,120,120,120,120,120,120,2.1569044479712403e-10,1.1343437300581627e-10,5.073398451203163e-11,5.073398451203163e-11,2.220446049250313e-16,2.812442087453105e-10,7.868366418810156e-11,5.449790012603347e-10
3,6,72,72,72,72,72,72,2.0221448962474707e-10,7.109844623965277e-11,5.007721713496831e-11,5.007721713496831e-11,2.220446049250313e-16,2.6054836991239193e-10,7.43926172230527e-11,5.370175349734049e-10
3,7,51,51,51,51,51,51,2.2609948171869076e-10,9.499499217826105e-11,4.7593258900364035e-11,4.7593258900364035e-11,1.6653345369377348e-16,2.4508478501824674e-10,7.138337852299518e-11,5.279652158937013e-10
3,8,22,22,22,22,22,22,1.6211727446591162e-10,5.4941743339698506e-11,4.409840522817294e-11,4.409840522817294e-11,1.6653345369377348e-16,1.0040527963796258e-10,4.991336616914177e-11,2.04619555328545e-10
3,9,8,8,8,8,8,8,3.0602145605112613e-10,2.504007435990506e-11,8.528811800227247e-11,8.528811800227247e-11,4.996003610813204e-16,7.439826214630578e-10,1.6559439737160933e-10,8.913028301092692e-10
3,10,7,7,7,7,7,7,1.293251200573664e-10,7.941622344960645e-11,4.079853208400974e-11,4.079853208400974e-11,1.1102230246251565e-16,3.19951297606133e-10,7.08145636515689e-11,3.761719847025517e-10
